Year,Month,Day,Price,Type
2016,3,31,2400,1
2016,5,9,3000,1
2016,5,4,3000,1
2016,4,15,3000,1
2016,4,12,3000,1
2016,5,19,3000,1
2016,5,16,2800,1
2016,5,11,2800,1
2016,6,10,2700,1
2016,6,7,2700,1
2016,5,30,3100,1
2016,7,8,2500,1
2016,6,23,2700,1
2016,6,20,2700,1
2016,6,14,2700,1
2016,7,28,2300,1
2016,7,18,2300,1
2016,7,12,2500,1
2016,9,9,2500,1
2016,9,1,2500,1
2016,8,25,2500,1
2016,10,14,3200,1
2016,10,11,3000,1
2016,9,29,3000,1
2016,11,18,2700,1
2016,11,3,3000,1
2016,10,28,3100,1
2016,10,21,3000,1
2016,12,9,2600,1
2016,12,6,2700,1
2016,11,22,2700,1
2016,12,28,2600,1
2016,12,19,2800,1
2017,1,19,3200,1
2017,2,17,3200,1
2017,2,14,2900,1
2017,1,31,3000,1
2017,3,24,3000,1
2017,3,15,3200,1
2017,3,8,3100,1
2017,2,21,3000,1
2017,4,24,3500,1
2017,4,19,3200,1
2017,3,30,3200,1
2017,6,30,2200,1
2017,6,27,2400,1
2017,6,21,2800,1
2017,8,1,1800,1
2017,7,27,1800,1
2017,7,19,1800,1
2017,7,4,2100,1
2017,8,28,1800,1
2017,8,11,1800,1
2017,8,3,1800,1
2017,10,3,1800,1
2017,9,7,1600,1
2017,9,4,1500,1
2017,10,18,1800,1
2017,10,12,1700,1
2017,10,9,1800,1
2017,10,4,1800,1
2017,11,9,2000,1
2017,11,2,1800,1
2017,10,24,1800,1
2017,11,27,1600,1
2017,11,22,1800,1
2017,11,17,1600,1
2017,12,19,1800,1
2017,12,11,1800,1
2017,12,5,1800,1
2017,11,30,1800,1
2018,1,3,2000,1
2018,12,28,1800,1
2018,12,21,1800,1
2018,1,19,2000,1
2018,1,16,2000,1
2018,1,11,1800,1
2018,2,21,2000,1
2018,2,16,2000,1
2018,2,7,2000,1
2018,3,8,2200,1
2018,3,2,2200,1
2018,2,27,2250,1
2018,2,22,2000,1
2018,3,19,2400,1
2018,3,14,2200,1
2018,3,9,2400,1
2018,4,10,2200,1
2018,4,4,2200,1
2018,3,26,2250,1
2018,4,27,3000,1
2018,4,24,2250,1
2018,4,19,2250,1
2018,5,24,2300,1
2018,5,17,2500,1
2018,5,10,2750,1
2018,5,3,2750,1
2018,6,14,2000,1
2018,6,11,1800,1
2018,6,5,1800,1
2018,7,3,2000,1
2018,6,27,1800,1
2018,6,22,2000,1
2018,7,13,2000,1
2018,7,9,2200,1
2018,7,6,2200,1
2018,7,9,2200,1
2018,7,25,2350,1
2018,7,20,2200,1
2018,7,17,2000,1
2018,8,13,3000,1
2018,8,8,2750,1
2018,8,3,2300,1
2018,9,17,3000,1
2018,8,28,3000,1
2018,8,23,3000,1
2018,8,15,3000,1
2018,10,22,3000,1
2018,9,27,3000,1
2018,9,20,2800,1
2018,11,14,2500,1
2018,11,9,2500,1
2019,3,8,2200,1
2019,5,9,3000,1
2019,5,15,4500,1
2019,3,29,2900,1
2019,3,22,2300,1
2011,6,24,2640,2
2011,6,29,2600,2
2011,7,4,2000,2
2011,7,7,2000,2
2011,7,12,1800,2
2011,7,15,1900,2
2011,7,20,1900,2
2011,7,25,1700,2
2011,7,28,1800,2
2011,8,2,1700,2
2011,8,5,1800,2
2011,8,11,2000,2
2011,8,16,2200,2
2011,8,19,2300,2
2011,8,24,2300,2
2011,8,29,2700,2
2011,9,2,2700,2
2011,9,7,2800,2
2011,9,12,2800,2
2011,9,15,2900,2
2011,9,20,2800,2
2011,9,23,2900,2
2011,9,28,3200,2
2011,10,5,3300,2
2011,10,10,3100,2
2011,10,14,3000,2
2011,10,19,3600,2
2011,10,25,3800,2
2011,11,3,3700,2
2011,11,8,3700,2
2011,11,11,3800,2
2011,11,16,3700,2
2011,11,21,3400,2
2011,11,24,2500,2
2011,11,29,3500,2
2011,12,2,3700,2
2011,12,7,3700,2
2011,12,13,3700,2
2011,12,23,3600,2
2011,12,29,3800,2
2012,1,4,4400,2
2011,1,9,4800,2
2011,1,12,4800,2
2012,1,17,5000,2
2012,1,20,4700,2
2012,1,25,4500,2
2012,1,30,4200,2
2012,2,2,4100,2
2012,2,7,4500,2
2012,2,10,4200,2
2012,2,15,4300,2
2012,2,20,4200,2
2012,2,23,4300,2
2012,2,28,4000,2
2012,3,2,4000,2
2012,3,7,4000,2
2012,3,12,5000,2
2012,3,15,5000,2
2012,3,20,5000,2
2012,3,23,5000,2
2012,3,28,5300,2
2012,4,2,4300,2
2012,4,5,4500,2
2012,4,12,4800,2
2012,4,17,4800,2
2012,4,20,5000,2
2012,4,25,5300,2
2012,4,30,5500,2
2012,5,7,5500,2
2012,5,10,5500,2
2012,5,15,5800,2
2012,5,18,5000,2
2012,5,25,4500,2
2012,5,30,3400,2
2012,6,5,3400,2
2012,6,8,4400,2
2012,6,14,4800,2
2012,6,20,4200,2
2012,6,25,4200,2
2012,6,28,3200,2
2012,7,4,3000,2
2012,7,9,3000,2
